sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9649467342782908
6.9,3.1,5.1,2.3,virginica,0.9670379689245328
5.1,2.5,3.0,1.1,versicolor,0.9490034115594803
4.4,2.9,,0.2,setosa,0.633664086951718
5.9,3.0,5.1,1.8,virginica,0.7727560883468064
5.5,3.5,1.3,0.2,setosa,0.9575194297474721
5.6,,3.6,1.3,versicolor,0.9368647170460837
6.5,3.0,5.2,2.0,virginica,0.9498651076195535
5.3,3.7,1.5,0.2,setosa,0.9625536673604528
5.1,3.4,1.5,,setosa,0.810436619364334
6.1,2.8,4.0,1.3,versicolor,0.9775514124431852
5.5,2.4,3.7,1.0,versicolor,0.9778134335429857
7.7,3.0,6.1,2.3,virginica,0.9620028815155567
6.9,3.1,4.9,1.5,versicolor,0.7393877390824413
6.0,2.2,5.0,1.5,versicolor,0.5799880205502091
